locale,tier,flags,source_type,source_title,source_url,anchor,target_type,target_title,target_url,target_id,context,source_id,block_key,offset
es,A,,faqEntry,¿Hay alojamientos ecológicos y opciones sostenibles?,/es/faq,Siwa,city,Siwa,/es/guide/siwa,wp-page-58932,"Sí: alojamientos aislados de la red en Siwa, El Fayum y la costa sur del mar Rojo, varios de ellos construidos con materiales locales y con personal de la zona.",faq-entry-are-there-eco-lodges-and-sustainable-options,are-there-eco-lodgesesb0,39
en,A,,faqEntry,Are there good collections outside Cairo?,/faq,The Luxor Museum,guideArticle,The Luxor Museum,/guide/luxor/the-luxor-museum,guideArticle.luxor.the-luxor-museum,"The Luxor Museum is smaller, better lit, and better curated than its size suggests — many people prefer it to Cairo's larger institutions.",faq-entry-are-there-good-collections-outside-cairo,are-there-good-collectiob0,0
en,A,,faqEntry,Are there good collections outside Cairo?,/faq,Cairo,city,Cairo,/guide/cairo,wp-page-83284,"The Luxor Museum is smaller, better lit, and better curated than its size suggests — many people prefer it to Cairo's larger institutions.",faq-entry-are-there-good-collections-outside-cairo,are-there-good-collectiob0,110
en,A,,faqEntry,Are there good collections outside Cairo?,/faq,The Nubian Museum,guideArticle,The Nubian Museum,/guide/aswan/the-nubian-museum,guideArticle.aswan.the-nubian-museum,The Nubian Museum in Aswan covers a culture and a history that the Cairo museums barely touch.,faq-entry-are-there-good-collections-outside-cairo,are-there-good-collectiob0,139
en,A,,faqEntry,Are there good collections outside Cairo?,/faq,Aswan,city,Aswan,/guide/aswan,wp-page-58758,The Nubian Museum in Aswan covers a culture and a history that the Cairo museums barely touch.,faq-entry-are-there-good-collections-outside-cairo,are-there-good-collectiob0,160
es,A,,faqEntry,¿Hay buenas colecciones fuera de El Cairo?,/es/faq,El Museo de Luxor,guideArticle,El Museo de Luxor,/es/guide/luxor/el-museo-de-luxor,guideArticle.luxor.the-luxor-museum,"El Museo de Luxor es más pequeño, mejor iluminado y mejor comisariado de lo que su tamaño sugiere; mucha gente lo prefiere a las instituciones cairotas.",faq-entry-are-there-good-collections-outside-cairo,are-there-good-colleesb0,0
es,A,,faqEntry,¿Hay buenas colecciones fuera de El Cairo?,/es/faq,El Museo Nubio,guideArticle,El Museo Nubio,/es/guide/asuan/el-museo-nubio,guideArticle.aswan.the-nubian-museum,El Museo Nubio de Asuán cubre una cultura y una historia que los museos de El Cairo apenas rozan.,faq-entry-are-there-good-collections-outside-cairo,are-there-good-colleesb0,153
es,A,,faqEntry,¿Hay buenas colecciones fuera de El Cairo?,/es/faq,Asuán,city,Asuán,/es/guide/asuan,wp-page-58758,El Museo Nubio de Asuán cubre una cultura y una historia que los museos de El Cairo apenas rozan.,faq-entry-are-there-good-collections-outside-cairo,are-there-good-colleesb0,171
es,A,,faqEntry,¿Hay buenas colecciones fuera de El Cairo?,/es/faq,El Cairo,city,El Cairo,/es/guide/el-cairo,wp-page-83284,El Museo Nubio de Asuán cubre una cultura y una historia que los museos de El Cairo apenas rozan.,faq-entry-are-there-good-collections-outside-cairo,are-there-good-colleesb0,228
ja,A,,faqEntry,カイロ以外に良いコレクションはありますか？,/ja/faq,ルクソール博物館,guideArticle,ルクソール博物館,/ja/guide/rukusoru/rukusoru-hakubutsukan,guideArticle.luxor.the-luxor-museum,ルクソール博物館は規模から想像するより小ぶりで、照明も展示構成も優れています。,faq-entry-are-there-good-collections-outside-cairo,are-there-good-collejab0,0
