filename_needed,type,city,title,page_url,current_image_shows
wadi-el-gamal-national-park.jpg,guideArticle,Marsa Alam,Wadi El Gamal National Park,https://travel2egypt.org/guide/marsa-alam/wadi-el-gamal-national-park,large resort hotel with blue swimming pool
things-to-do-in-rosetta.jpg,guideArticle,Rosetta Rasheed,Things To Do In Rosetta,https://travel2egypt.org/guide/rosetta-rasheed/things-to-do-in-rosetta,Temple of Kalabsha / Aswan-area sandstone temple in rocky desert
getting-around-sohag.jpg,guideArticle,Sohag,Getting Around Sohag,https://travel2egypt.org/guide/sohag/getting-around-sohag,colorful Red Sea coral reef with tropical fish
ticket-prices-for-attractions-in-sohag.jpg,guideArticle,Sohag,Ticket Prices for Attractions in Sohag,https://travel2egypt.org/guide/sohag/ticket-prices-for-attractions-in-sohag,"Valley of the Kings desert road, Luxor"
where-to-stay-in-suez.jpg,guideArticle,Suez,Where To Stay In Suez,https://travel2egypt.org/guide/suez/where-to-stay-in-suez,double rainbow over a rocky ocean coast (generic non-Egypt seascape)
only-in-taba.jpg,guideArticle,Taba,Only In Taba,https://travel2egypt.org/guide/taba/only-in-taba,Felucca sailing on the Nile
only-in-wadi-al-natron.jpg,guideArticle,Wādī Al Natron,Only In Wādī Al Natron,https://travel2egypt.org/guide/wadi-el-natrun/only-in-wadi-al-natron,colorful Red Sea coral reef with tropical fish
things-to-do-in-wadi-al-natron.jpg,guideArticle,Wādī Al Natron,Things To Do In Wādī Al Natron,https://travel2egypt.org/guide/wadi-el-natrun/things-to-do-in-wadi-al-natron,palm trees before a sand-coloured Theban-style temple wall and cliff (Luxor-like)
tours-in-wadi-el-natrun.jpg,guideArticle,Wādī Al Natron,Tours In Wadi El Natrun,https://travel2egypt.org/guide/wadi-el-natrun/tours-in-wadi-el-natrun,ancient Saqqara / Step Pyramid Djoser complex ruins
water-safety-in-egypt-advice-for-travelers.jpg,travelTip,,Water Safety in Egypt: Advice for Travelers,https://travel2egypt.org/travel-tips/water-safety-in-egypt-advice-for-travelers,woman eating breakfast in hotel room with orange juice
al-arish-history.jpg,guideArticle,Al Arish,Al Arish History,https://travel2egypt.org/guide/al-arish/al-arish-history,silhouetted group watching sunset over desert dunes
how-to-go-to-al-minya.jpg,guideArticle,Al Minya,How To Go to Al Minya,https://travel2egypt.org/guide/al-minya/how-to-go-to-al-minya,Coptic monastery with twin cross-topped bell towers in desert
places-to-stay-in-al-minya.jpg,guideArticle,Al Minya,Places to Stay in Al Minya,https://travel2egypt.org/guide/al-minya/places-to-stay-in-al-minya,carved columns of an Egyptian temple (Philae/Aswan style)
ticket-prices-for-attractions-in-al-minya-asyut.jpg,guideArticle,Al Minya,Ticket Prices for Attractions in Al Minya & Asyut,https://travel2egypt.org/guide/al-minya/ticket-prices-for-attractions-in-al-minya-asyut,green Nile-valley fields with palms and a distant pyramid
history-of-al-wadi-al-gadid.jpg,guideArticle,Al Wadi Al Gadid,History Of Al Wadi Al Gadid,https://travel2egypt.org/guide/al-wadi-al-gadid/history-of-al-wadi-al-gadid,Ancient Egyptian relief carving of two pharaohs with ankh
where-to-stay-in-al-wadi-al-gadid.jpg,guideArticle,Al Wadi Al Gadid,Where to Stay in Al Wadi Al Gadid,https://travel2egypt.org/guide/al-wadi-al-gadid/where-to-stay-in-al-wadi-al-gadid,ancient stone temple/tomb ruin amid desert sand dunes
getting-around-asyut.jpg,guideArticle,Asyut,Getting Around Asyut,https://travel2egypt.org/guide/asyut/getting-around-asyut,Hathor-headed temple columns (Nile-valley pharaonic temple)
history-of-asyut.jpg,guideArticle,Asyut,History Of Asyut,https://travel2egypt.org/guide/asyut/history-of-asyut,Hiker on a rocky mountain (Sinai/St Catherine style trail)
how-to-go-to-asyut.jpg,guideArticle,Asyut,How To Go To Asyut,https://travel2egypt.org/guide/asyut/how-to-go-to-asyut,Limestone tomb/temple stonework (Saqqara/Giga-style masonry)
only-here-in-asyut.jpg,guideArticle,Asyut,Only Here In Asyut,https://travel2egypt.org/guide/asyut/only-here-in-asyut,Man in traditional dress walking across desert dunes
getting-around-beni-suef.jpg,guideArticle,Beni Suef,Getting Around Beni Suef,https://travel2egypt.org/guide/beni-suef/getting-around-beni-suef,Hathor-headed temple columns (Nile-valley pharaonic temple)
only-here-in-beni-suef.jpg,guideArticle,Beni Suef,Only Here In Beni Suef,https://travel2egypt.org/guide/beni-suef/only-here-in-beni-suef,Coptic monastery with twin cross-topped bell towers in desert
ticket-prices-for-attractions-in-beni-suef.jpg,guideArticle,Beni Suef,Ticket Prices for Attractions in Beni Suef,https://travel2egypt.org/guide/beni-suef/ticket-prices-for-attractions-in-beni-suef,Temple of Kalabsha / Aswan-area sandstone temple in rocky desert
blue-hole.jpg,guideArticle,Dahab,Dahab Exclusives,https://travel2egypt.org/guide/dahab/blue-hole,Wooden pier over calm Red Sea beach at sunset
