citySlug,field,en,es,ja
cairo,descriptors,"Dry heat, city-tempered · Bright winters · Rare rain","Calor seco, templado por la ciudad · Inviernos luminosos · Lluvia escasa",乾いた暑さ、都市に和らげられて · 明るい冬 · めったに降らない雨
cairo,gapText,14° between noon and midnight,14° entre el mediodía y la medianoche,正午から真夜中まで14℃差
cairo,troughText,9° — January nights,9° — noches de enero,9℃ — 1月の夜
cairo,caption,"Hot and bright from May to September, mild and blue-skied all winter — rain comes a handful of days a year, and the city treats each one as an event.","Calurosa y luminosa de mayo a septiembre, templada y de cielos azules todo el invierno — la lluvia llega apenas unos días al año, y la ciudad convierte cada uno en un acontecimiento.",5月から9月は暑く明るく、冬は一年を通じて穏やかで青空が広がる — 雨が降るのは年にほんの数日だけで、街はその一日一日を特別な出来事として迎える。
cairo,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
giza,descriptors,Desert edge of the capital · Clear mornings · Rare rain,Borde desértico de la capital · Mañanas despejadas · Lluvia escasa,首都の砂漠の縁 · 澄んだ朝 · めったに降らない雨
giza,gapText,14° between noon and midnight,14° entre el mediodía y la medianoche,正午から真夜中まで14℃差
giza,troughText,8° — January dawns,8° — amaneceres de enero,8℃ — 1月の明け方
giza,caption,The plateau runs a degree hotter and a shade dustier than the city beside it — which is why the pyramids are a morning appointment from May to September.,"La meseta es un grado más calurosa y algo más polvorienta que la ciudad vecina — por eso, de mayo a septiembre, las pirámides son una cita matutina.",この台地は隣接する街より1度ほど暑く、いくらか埃っぽい — だからこそ5月から9月は、ピラミッドは朝のうちに訪れるべき場所となる。
giza,seasonLabel,THE SEASON — OCTOBER TO APRIL,LA TEMPORADA — DE OCTUBRE A ABRIL,ベストシーズン — 10月〜4月
ismailia,descriptors,Canal air · Green for Egypt · Mild winters,Aire de canal · Verde para lo que es Egipto · Inviernos suaves,運河の空気 · エジプトにしては緑豊か · 穏やかな冬
ismailia,gapText,12° between day and night,12° entre el día y la noche,昼と夜で12℃差
ismailia,troughText,9° — January nights,9° — noches de enero,9℃ — 1月の夜
