sanity_id,slug,title,current_category,current_root,proposed_category,reason,es_id,ja_id,phase1_flag,has_open_draft
wp-post-135534-en,1-day-giza-pyramids-itinerary,A Day at the Pyramids of Giza,Tips & Tricks (tips-tricks),Planning (planning),Sites & Monuments (sites-and-monuments),how to walk the Giza plateau,wp-post-144443-es,wp-post-170607-ja,,
wp-post-149582-en,129-reasons-to-visit-karnak-temple,What Karnak Temple Actually Is,Tours (tours),Destination (destination),Sites & Monuments (sites-and-monuments),Karnak,wp-post-155497-es,wp-post-249552-ja,,
wp-post-136729-en,2-weeks-egypt-tour-itinerary,Two Weeks in Egypt: An Itinerary,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),itinerary,wp-post-144451-es,wp-post-249675-ja,,
wp-post-103645-en,33-amazing-things-to-do-in-hurghada,What to Actually Do in Hurghada,Lifestyle (lifestyle),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144340-es,wp-post-245129-ja,retired-phase1 (Task 16),
wp-post-152503-en,4-day-egypt-travel-itinerary,Four Days in Egypt: An Itinerary,Tours (tours),Destination (destination),Planning & Itineraries (planning-and-itineraries),itinerary,wp-post-155189-es,wp-post-249572-ja,,
wp-post-98766-en,7-unforgettable-to-do-in-aswan,What to Actually Do in Aswan,Hotels (hotels),Destination (destination),(n/a: leaves the blog),redirected in Phase 1,wp-post-144324-es,wp-post-164347-ja,retired-phase1 (Task 16),
wp-post-136630-en,8-day-egypt-tour-itinerary,Eight Days in Egypt: An Itinerary,Creative (creative),Destination (destination),Planning & Itineraries (planning-and-itineraries),itinerary,wp-post-144445-es,wp-post-249688-ja,,
wp-post-238980-en,a-helicopter-adventure-over-the-pyramids-and-nile,Cairo from the Air,Adventure (adventure),Destination (destination),(n/a: leaves the blog),leaves Travel2Egypt,wp-post-240585-es,wp-post-240795-ja,moves-to-sillage (Task 12),
wp-post-132240-en,a-history-buffs-guide-to-cairo,A History Reader's Cairo,History (history),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Cairo,wp-post-144447-es,wp-post-170616-ja,,
wp-post-234807-en,a-simple-guide-to-the-valley-of-the-kings,Understanding the KV Numbers in the Valley of the Kings,Tips & Tricks (tips-tricks),Planning (planning),Sites & Monuments (sites-and-monuments),Valley of the Kings,wp-post-236202-es,wp-post-238793-ja,,
wp-post-95442-en,a-visit-to-cairos-khan-el-khalili-bazaar,Walking Khan el-Khalili,Hotels (hotels),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Cairo district walk,wp-post-144326-es,wp-post-164355-ja,,
wp-post-112925-en,adventure-travel-guides,Adventure Travel in Egypt,Adventure (adventure),Destination (destination),"Desert, Oases & Sinai (desert-oases-and-sinai)",adventure is mostly desert and Sinai,wp-post-209810-es,wp-post-167052-ja,,
wp-post-69273-en,alcohol-in-egypt,Alcohol in Egypt,Culture (culture),Destination (destination),Culture & Food (culture-and-food),drinking customs,wp-post-144323-es,wp-post-162819-ja,,
wp-post-115404-en,ancient-egyptian-kings,The Kings of Ancient Egypt,Tours (tours),Destination (destination),History & Egyptology (history-and-egyptology),pharaohs,wp-post-144413-es,wp-post-170207-ja,,
wp-post-204425-en,animals-in-ancient-egypt,Animals in Ancient Egypt,Culture (culture),Destination (destination),History & Egyptology (history-and-egyptology),Egyptology,wp-post-249349-es,wp-post-249283-ja,,
wp-post-205297-en,antique-market-in-cairo-the-diana-market,Cairo's Diana Market,Tours (tours),Destination (destination),Cairo & the Cities (cairo-and-the-cities),Cairo market,wp-post-249366-es,wp-post-249295-ja,,
wp-post-129653-en,are-there-crocodiles-in-the-nile-river,Are There Crocodiles in the Nile?,Adventure (adventure),Destination (destination),The Nile (the-nile),the river itself,wp-post-144412-es,wp-post-170588-ja,,
wp-post-129920-en,attractions-in-marsa-alam,What to See in Marsa Alam,Tours (tours),Destination (destination),Red Sea & Diving (red-sea-and-diving),Red Sea coast,wp-post-144403-es,wp-post-170594-ja,,
