locale,tier,flags,source_type,source_title,source_url,anchor,target_type,target_title,target_url,target_id,context,source_id,block_key,offset
en,A,,faqEntry,Are there restrictions on photography?,/faq,Valley of the Kings,guideArticle,Valley of the Kings,/guide/luxor/valley-of-the-kings,guideArticle.luxor.valley-of-the-kings,Many museums and tombs charge a separate photography ticket or prohibit it entirely — the Valley of the Kings has its own rules.,faq-entry-are-there-restrictions-on-photography,sware-there-restrictenb0,284
es,A,,faqEntry,¿Hay restricciones para hacer fotografías?,/es/faq,el Valle de los Reyes,guideArticle,El Valle de los Reyes,/es/guide/luxor/el-valle-de-los-reyes,guideArticle.luxor.valley-of-the-kings,Muchos museos y tumbas cobran una entrada aparte para fotografiar o lo prohíben directamente: el Valle de los Reyes tiene sus propias normas.,faq-entry-are-there-restrictions-on-photography,sware-there-restrictesb0,286
ja,A,,faqEntry,写真撮影に制限はありますか？,/ja/faq,王家の谷,guideArticle,王家の谷,/ja/guide/rukusoru/oke-no-tani,guideArticle.luxor.valley-of-the-kings,王家の谷には独自の規則があります。,faq-entry-are-there-restrictions-on-photography,sware-there-restrictjab0,99
en,A,,faqEntry,How widely is English spoken?,/faq,Cairo,city,Cairo,/guide/cairo,wp-page-83284,"In Cairo, the resort towns, and anywhere serving tourism — hotels, guides, drivers, larger shops — yes, commonly.",faq-entry-how-widely-is-english-spoken,swis-english-widely-enb0,3
es,A,,faqEntry,¿Se habla inglés en Egipto? ¿Y español?,/es/faq,El Cairo,city,El Cairo,/es/guide/el-cairo,wp-page-83284,"En El Cairo, las zonas turísticas y cualquier entorno vinculado al turismo —hoteles, guías, chóferes, comercios grandes— el inglés es habitual.",faq-entry-how-widely-is-english-spoken,swis-english-widely-esb0,3
es,A,,faqEntry,¿Se habla inglés en Egipto? ¿Y español?,/es/faq,Luxor,city,Luxor,/es/guide/luxor,wp-page-58877,"El español no es de uso general, pero sí existe un número apreciable de guías egiptólogos titulados que trabajan en español, formados en las facultades de turismo de El Cairo y Luxor.",faq-entry-how-widely-is-english-spoken,swis-english-widely-esb0,364
ja,A,,faqEntry,英語は通じますか？日本語は？,/ja/faq,カイロ,city,カイロ,/ja/guide/kairo,wp-page-83284,カイロ、リゾート地、そして観光に関わる場所——ホテル、ガイド、ドライバー、大きな店——では英語は一般的に通じます。,faq-entry-how-widely-is-english-spoken,swis-english-widely-jab0,0
en,A,,faqEntry,When is the best time to visit Egypt?,/faq,Cairo,city,Cairo,/guide/cairo,wp-page-83284,"Between November and February, daytime highs in Cairo and Luxor typically sit around 19–25°C (66–77°F), which makes long days at open, unshaded sites manageable rather than punishing.",faq-entry-when-is-the-best-time-to-visit-egypt,swwhen-is-the-best-tenb0,97
en,A,,faqEntry,When is the best time to visit Egypt?,/faq,Luxor,city,Luxor,/guide/luxor,wp-page-58877,"Between November and February, daytime highs in Cairo and Luxor typically sit around 19–25°C (66–77°F), which makes long days at open, unshaded sites manageable rather than punishing.",faq-entry-when-is-the-best-time-to-visit-egypt,swwhen-is-the-best-tenb0,107
es,A,,faqEntry,¿Cuál es la mejor época para viajar a Egipto?,/es/faq,El Cairo,city,El Cairo,/es/guide/el-cairo,wp-page-83284,"Entre noviembre y febrero, las máximas diurnas en El Cairo y Luxor rondan los 19–25 °C, lo que convierte una jornada larga en yacimientos abiertos y sin sombra en algo llevadero en lugar de agotador.",faq-entry-when-is-the-best-time-to-visit-egypt,swwhen-is-the-best-tesb0,91
es,A,,faqEntry,¿Cuál es la mejor época para viajar a Egipto?,/es/faq,Luxor,city,Luxor,/es/guide/luxor,wp-page-58877,"Entre noviembre y febrero, las máximas diurnas en El Cairo y Luxor rondan los 19–25 °C, lo que convierte una jornada larga en yacimientos abiertos y sin sombra en algo llevadero en lugar de agotador.",faq-entry-when-is-the-best-time-to-visit-egypt,swwhen-is-the-best-tesb0,102
ja,A,,faqEntry,エジプト旅行のベストシーズンはいつですか？,/ja/faq,カイロ,city,カイロ,/ja/guide/kairo,wp-page-83284,11月から2月にかけては、カイロやルクソールの日中の最高気温がおおむね19〜25℃で推移し、日陰のない遺跡で長時間過ごしても消耗せずに済みます。,faq-entry-when-is-the-best-time-to-visit-egypt,swwhen-is-the-best-tjab0,29
ja,A,,faqEntry,エジプト旅行のベストシーズンはいつですか？,/ja/faq,ルクソール,city,ルクソール,/ja/guide/rukusoru,wp-page-58877,11月から2月にかけては、カイロやルクソールの日中の最高気温がおおむね19〜25℃で推移し、日陰のない遺跡で長時間過ごしても消耗せずに済みます。,faq-entry-when-is-the-best-time-to-visit-egypt,swwhen-is-the-best-tjab0,33
