doc_id,locale,reason,summary
guideArticle.al-wadi-al-gadid.el-wadi-el-gedid-museum,ja,not a body prefix,"永遠のささやき：エル・ワーディ・エル・ゲディード博物館とその時を超えた宝物たち エジプトの心に抱かれた地に佇むエル＝ワーディ・エル＝ゲディード博物館は、歴史がその文化に織り込まれた大地にそびえ立つ、ファラオたちの遺産を永遠に伝える証です。かつて古代エジプト文明の中心的役割を担った地域にあるこの博物館は、計り知れない歴史的価値と美を宿した宝物庫です。 この博物館に展示されるコレクションは、古代の物語を紡ぐ一章のような存在です。旧王国時代の独特な赤い陶器は古代エジプトの職人技を象"
guideArticle.giza.abusir-pyramid-of-niuserre,en,not a body prefix,"Nyuserre's pyramid is the most intact of the Abusir royal monuments — and the best place to read the necropolis as a Fifth Dynasty family cemetery."
guideArticle.giza.abusir-pyramid-of-niuserre,es,not a body prefix,"La pirámide de Nyuserre es la más íntegra entre los monumentos reales de Abusir — y el mejor lugar para leer la necrópolis como un cementerio familiar de la Dinastía V."
guideArticle.giza.abusir-pyramid-of-niuserre,ja,not a body prefix,"ニュセルラのピラミッドはアブシールの王家記念物のなかで最も完全なものであり、第5王朝の家族墓地としてこのネクロポリスを読むのに最適な場所です。"
guideArticle.giza.mastaba-of-ptahshepses-at-abusir,es,not a body prefix,"La mastaba de Ptahshepses en Abusir es una de las tumbas privadas más grandes y arquitectónicamente complejas del Reino Antiguo — un monumento donde se cruzan la autoridad de visir, el matrimonio real y la arquitectura de la Dinastía V."
guideArticle.giza.pyramid-of-khentkaus-ii-at-abusir,es,not a body prefix,"La pirámide de Khentkaus II en Abusir es uno de los monumentos de reina más importantes de la Dinastía V — y la razón por la que la necrópolis se lee como cementerio familiar, no como hilera de reyes."
guideArticle.giza.pyramid-of-neferirkare-at-abusir,es,not a body prefix,"La pirámide de Neferirkare Kakai fue el punto más alto del perfil de Abusir. Su complejo inacabado condicionó a todos los reyes de la Dinastía V que vinieron después."
guideArticle.giza.pyramid-of-sahure-at-abusir,es,not a body prefix,"La pirámide de Sahure es menor que sus vecinas de Guiza, pero fijó el modelo que definió la construcción real de la Dinastía V — y dio a Abusir su importancia."
wp-page-145963,-,published doc missing,
wp-page-153215,-,published doc missing,
wp-page-153289,-,published doc missing,
wp-page-239598,-,published doc missing,
wp-page-60649,es,not a body prefix,"Guía de Alojamiento en Luxor Luxor ofrece una variedad de alojamientos lujosos y confortables que complementan perfectamente la riqueza histórica y cultural de la ciudad. Ya sea que vengas a explorar maravillas antiguas o a relajarte junto "
wp-page-60657,es,not a body prefix,"Gastronomía y Restaurantes en Luxor Gastronomía y Restaurantes en Luxor Luxor, célebre por sus monumentos milenarios, también cautiva a sus visitantes con una rica escena culinaria. Desde la cocina egipcia tradicional hasta sabores internac"
wp-page-69927,-,published doc missing,
wp-page-72314,ja,not a body prefix,"アスワンの人気観光地のチケット料金 アスワンの豊かな歴史と美しい風景を探索するために、地域の最も人気のある観光地のチケット料金に関する包括的なガイドをご提供します。古代フィラエ神殿のパノラマに感嘆し、アル・カブの墓の秘密を発見したり、ABS神殿の壮大さを目の当たりにしたりする際に、この表は大人と学生の入場料、開館時間、閉館時間に関する重要な情報を提供します。訪問の計画に最適なこのガイドは、アスワンでの冒険を最大限に活用できるよう、すべての詳細を手元に届けます。 Experie"
wp-page-86865,-,published doc missing,
wp-page-87495,-,published doc missing,
wp-page-87635,-,published doc missing,
wp-page-87636,-,published doc missing,
wp-page-87759,-,published doc missing,
wp-page-87767,-,published doc missing,
wp-page-87837,-,published doc missing,
wp-page-88171,-,published doc missing,
wp-page-88559,-,published doc missing,
wp-page-88566,-,published doc missing,
wp-page-89437,-,published doc missing,
