reviewed_class,regex_class,doc_id,doc_type,locale,title,slug,field_path,context,note,owner_decision
STALE_FIX,NEUTRAL,wp-page-86851,tour,en,"The Elegant Cairo: A 4-Day Tour of the Ancient and the Living City",the-elegant-cairo-4-days-tour,body[0][_key==en].value[19],"Where · Cairo — Four Seasons First Residence (or equivalent); NMEC; Giza plateau and Solar Boat; Coptic Old Cairo; Ben Ezra Synagogue; Khan el-Khalili","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,NEUTRAL,wp-page-86851,tour,es,"The Elegant Cairo: A 4-Day Tour of the Ancient and the Living City",the-elegant-cairo-4-days-tour,body[1][_key==es].value[19],"Dónde · El Cairo — Four Seasons First Residence (o equivalente); NMEC; meseta de Guiza y Barca Solar; El Cairo copto; sinagoga Ben Ezra; Jan el-Jalili","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,tour.8-days-best-of-egypt-tour-package,tour,en,"8-Day Egypt Highlights: Cairo, Abu Simbel, the Nile and Luxor",8-days-best-of-egypt-tour-package,body[0][_key==en].value[6],"Menkaure, and the Great Sphinx form a complex raised around 2500 BC and not surpassed for sheer physical ambition in the five millennia since. A camel ride across the plateau gives you the scale. The Solar Boat Museum holds one of the cedar vessels buried beside Khufu's pyramid — dismantled into 1,224 pieces, recovered intact, and reassembled in a purpose-built gallery beside the pyramid.","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,tour.8-days-best-of-egypt-tour-package,tour,es,"8-Day Egypt Highlights: Cairo, Abu Simbel, the Nile and Luxor",8-days-best-of-egypt-tour-package,body[1][_key==es].value[6],"ran Esfinge forman un complejo levantado hacia 2500 a. C. y nunca superado en pura ambición física en los cinco milenios desde entonces. Un paseo en camello por la meseta da la escala. El Museo de la Barca Solar conserva uno de los buques de cedro enterrados junto a la pirámide de Keops —desmontado en 1224 piezas, recuperado intacto y reensamblado en una galería construida a propósito junto a la pirámide.","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,tour.8-days-best-of-egypt-tour-package,tour,ja,"8-Day Egypt Highlights: Cairo, Abu Simbel, the Nile and Luxor",8-days-best-of-egypt-tour-package,body[2][_key==ja].value[6],"最初のフル日は、ピラミッド建設の3000年を一周します。ギザでは、クフ王の大ピラミッド、カフラー王のピラミッド、メンカウラー王のピラミッド、そして大スフィンクスが、紀元前2500年ごろに築かれた複合体を成しています——以降5000年、純粋な物理的野心において、ここを超えるものは現れていません。高原を渡るラクダ乗りで規模をつかめます。太陽の船博物館にはクフ王のピラミッドのそばに埋められた杉の船一隻——1,224の部材に解体され、無傷で発見され、専用ギャラリーで再組立てされた船——が収まっています。","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-86851,tour,en,"The Elegant Cairo: A 4-Day Tour of the Ancient and the Living City",the-elegant-cairo-4-days-tour,body[0][_key==en].value[10],"ive in person than in any preparation. The scale resolves things photographs distort: the individual courses of limestone at chest height; the plateau's sheer horizontal extent; the Sphinx below. The Solar Boat Museum, beside the Great Pyramid, holds the reconstructed cedar vessel buried beside Khufu around 2500 BC — one of the oldest intact ships in existence. The day closes with a camel ride across the plateau as the light drops.","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-86851,tour,es,"The Elegant Cairo: A 4-Day Tour of the Ancient and the Living City",the-elegant-cairo-4-days-tour,body[1][_key==es].value[10],"La escala resuelve cosas que las fotografías distorsionan: las hiladas individuales de piedra caliza a la altura del pecho, la pura extensión horizontal de la meseta, la Esfinge abajo. El Museo de la Barca Solar, junto a la Gran Pirámide, alberga la embarcación de cedro reconstruida enterrada al lado de Keops hacia el 2500 a. C. — uno de los barcos intactos más antiguos que existen. El día se cierra con un paseo en camello sobre la meseta a medida que cae ","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-86851,tour,ja,"The Elegant Cairo: A 4-Day Tour of the Ancient and the Living City",the-elegant-cairo-4-days-tour,body[2][_key==ja].value[10],"午後はギザへ。三つのピラミッド——クフ、カフラー、メンカウラー、紀元前25世紀に築かれた——は、どれだけ準備をしても、実物の方が常に上回ります。スケールは写真が歪めるものを解像してくれます——胸の高さの石灰岩の層、高原の純粋に水平方向への拡がり、下方に控えるスフィンクス。大ピラミッドのすぐ脇にある太陽の船博物館には、紀元前2500年頃にクフ王の傍らに埋葬された、復元された杉材の船——現存最古級の無傷の船舶——が収められています。日没にかけて高原を渡るラクダ騎乗で一日を締めくくります。","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-86851,tour,ja,"The Elegant Cairo: A 4-Day Tour of the Ancient and the Living City",the-elegant-cairo-4-days-tour,body[2][_key==ja].value[19],"ルート · カイロ — フォー・シーズンズ・ファースト・レジデンス（または同等ホテル）、NMEC、ギザ高原と太陽の船博物館、コプトのオールド・カイロ、ベン・エズラ・シナゴーグ、ハーン・ハリーリ","itinerary still sends guests to the closed on-site Solar Boat Museum",
STALE_FIX,STALE_CLAIM,wp-page-89015,tour,en,"Love on the Nile: A 10-Day Romantic Egypt Tour",the-romantic-egypt-tour,body[0][_key==en].value[25],"und 2500 BC and remain among the largest structures ever made. The Great Sphinx, carved from the same limestone bedrock, sits below the Pyramid of Khafre, its identity and purpose still disputed. The Solar Boat Museum houses a funerary barque discovered dismantled in a pit at the base of Khufu's pyramid in 1954 — reassembled, it is 43 metres long, made of Lebanese cedar, and remarkably intact after 4,500 years. A camel ride through the desert gives the pla","itinerary still sends guests to the closed on-site Solar Boat Museum",
