decision,confidence,action,old_en_title,old_en_slug,old_es_slug,proposed_corpus_title,proposed_corpus_en_slug,collision,old_id,new_id
,HIGH,REDIRECT+UNPUBLISH,Abu Simbel by Plane from Aswan,abu-simbel-by-plane-from-aswan,abu-simbel-en-avion-desde-asuan,Abu Simbel by Plane from Aswan: A Morning with Ramses II,abu-simble-by-plane-from-aswan,,wp-page-88607,tour.abu-simble-by-plane-from-aswan
,HIGH,REDIRECT+UNPUBLISH,Abu Simbel Car Day Tour from Aswan,abu-simbel-car-day-tour-from-aswan,ruta-templos-autobus-abu-simbel-desde-asuan,Abu Simbel by Car from Aswan: A Full-Day Temple Journey,private-tour-abu-simble-by-bus-from-aswan,,wp-page-88502,tour.private-tour-abu-simble-by-bus-from-aswan
,HIGH,REDIRECT+UNPUBLISH,Ancient Echoes: Alexandria Day Tour,alexandria-day-tour,catacumba-columna-de-pompeyo-museo-nacional-y-anfiteatro,"Alexandria from Cairo: Catacombs, Pompey's Pillar, Greco-Roman Museum & Roman Amphitheatre",alexandria-catacombs-pompeys-pillar-group-day-tour-from-cairo,,wp-page-88108,tour.alexandria-catacombs-pompeys-pillar-group-day-tour-from-cairo
,HIGH,REDIRECT+UNPUBLISH,Aswan City Tour From Marsa Alam Small Group Tour,aswan-city-tour-from-marsa-alam-small-group-tour,visita-a-la-ciudad-de-asuan-desde-marsa-alam,"Aswan City Tour from Marsa Alam: Unfinished Obelisk, High Dam & Philae Temple",aswan-city-tour-from-marsa-alam,,wp-page-135806,tour.aswan-city-tour-from-marsa-alam
,HIGH,REDIRECT+UNPUBLISH,Cairo Day Tour from Alexandria,cairo-day-tour-from-alexandria,de-alejandria-a-el-cairo-piramides-y-museo,"Cairo Day Tour from Alexandria: Pyramids, Museum & Khan el-Khalili",alexandria-to-cairo-private-day-tour-of-giza-pyramids-sphinx-egyptian-museum-khan-el-khalili,shared:2,wp-page-118678,tour.alexandria-to-cairo-private-day-tour-of-giza-pyramids-sphinx-egyptian-museum-khan-el-khalili
,HIGH,REDIRECT+UNPUBLISH,Capital Splendors: Full-Day Group Trip to Cairo by Bus from Hurghada,group-trip-to-cairo-by-bus-from-hurghada,esplendores-de-la-capital-excursion-en-grupo-de-un-dia-a-el-cairo-en-autobus-desde-hurghada,Cairo by Bus: Full-Day Group Tour from Hurghada,cairo-by-bus-group-day-tour-from-hurghada,,wp-page-115522,tour.cairo-by-bus-group-day-tour-from-hurghada
,HIGH,REDIRECT+UNPUBLISH,Coral Companions: Shared Snorkeling Day at Giftun Island,shared-snorkeling-day-at-giftun-island,companeros-de-coral-dia-compartido-de-snorkel-en-la-isla-giftun,Giftun Island Snorkeling Day from Hurghada: Shared Yacht,giftun-island-shared-snorkeling-day-from-hurghada,,wp-page-115196,tour.giftun-island-shared-snorkeling-day-from-hurghada
,HIGH,REDIRECT+UNPUBLISH,Dendera and Abydos Temples Tour from Safaga,dendera-and-abydos-temples-tour-from-safaga,safaga-a-santuarios-excursion-de-un-dia-a-los-templos-de-dendera-y-abydos,Dendera & Abydos Temples Day Tour from Safaga,dendera-and-abydos-temples-day-tour,,wp-page-87558,tour.dendera-and-abydos-temples-day-tour
,HIGH,REDIRECT+UNPUBLISH,Exhilarating Desert Thrill: Quad Bike Safari to Bedouin Village,desert-quad-bike-safari-from-hurghada,emocionante-emocion-en-el-desierto-safari-en-quad-a-un-pueblo-beduino,Quad Bike Safari to a Bedouin Village from Hurghada,desert-quad-bike-safari-to-bedouin-village-from-hurghada,,wp-page-88554,tour.desert-quad-bike-safari-to-bedouin-village-from-hurghada
,HIGH,REDIRECT+UNPUBLISH,Giza’s Grandeur: Group Day Tour of the Pyramids and Sphinx,group-day-tour-of-the-pyramids-and-sphinx,excursion-de-un-dia-en-grupo-piramides-de-guiza-y-esfinge,Pyramids of Giza & the Sphinx: Group Day Tour from Cairo,pyramids-of-giza-and-sphinx-group-day-tour,,wp-page-87757,tour.pyramids-of-giza-and-sphinx-group-day-tour
